Month,Transaction,Smartcard.Type,Action.Reason,Number.of.transactions
2019-03,Replace Smartcard,Photo Identification Card,Change Customer Details,156
2019-03,Replace Smartcard,Driver Licence Card,Destroyed,110
2019-03,Replace Smartcard,Industry Authority Card,Lost In Mail - Imu,48
2019-03,Replace Smartcard,Marine Licence Ind Card,Managers Approval,8
2019-03,Replace Smartcard,Marine Licence Ind Card,Lost In Mail - Imu,7
2019-03,Replace Smartcard,Photo Identification Card,Disaster Relief,3
2019-03,Replace Smartcard,Industry Authority Card,Lost,22
2019-03,Replace Smartcard,Photo Identification Card,Merged,4
2019-04,Replace Smartcard,Driver Licence Card,Change Customer Details,1670
2019-04,Replace Smartcard,Industry Authority Card,Change Customer Details,28
2019-04,Replace Smartcard,Photo Identification Card,Stolen,58
2019-04,Replace Smartcard,Industry Authority Card,Lost,30
2019-05,Replace Smartcard,Driver Licence Card,Lost,4907
2019-05,Replace Smartcard,Driver Licence Card,Lost In Mail - Imu,1504
2019-05,Replace Smartcard,Photo Identification Card,Damaged,28
2019-04,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,14
2019-05,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,39
2019-04,Replace Smartcard,Driver Licence Card,Damaged,21
2019-05,Replace Smartcard,Photo Identification Card,Merged,3
2019-05,Replace Smartcard,Driver Licence Card,Damaged,30
2019-06,Replace Smartcard,Industry Authority Card,Condition Change,9
2019-06,Replace Smartcard,Driver Licence Card,Destroyed,119
2019-07,Replace Smartcard,Driver Licence Card,Lost,5369
2019-07,Replace Smartcard,Photo Identification Card,Lost,681
2019-07,Replace Smartcard,Driver Licence Card,Disaster Relief,1
2019-07,Replace Smartcard,Industry Authority Card,Lost In Mail - Imu,45
2019-07,Replace Smartcard,Photo Identification Card,Expired,18
2019-07,Replace Smartcard,Driver Licence Card,Product Exists Othr Surrend Void Cancel,3
2019-09,Replace Smartcard,Driver Licence Card,Change Customer Details,2066
2019-09,Replace Smartcard,Driver Licence Card,Stolen,1183
2019-09,Replace Smartcard,Marine Licence Ind Card,Lost,15
2019-08,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,25
2019-08,Replace Smartcard,Photo Identification Card,Lost,641
