Crash ID,State,YYYYMM,Day of week,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Road User,Gender,Age,Speed,Driving experience,National Remoteness Areas,SA4 Name 2016,National LGA Name 2017,National Road Type,Christmas Period,Easter Period,Age Group,Time of day
20212133,Vic,202109,Sunday,0:30:00,Single,,,,Motorcycle rider,Male,38,89,12,Inner Regional Australia,Melbourne - Outer East,Yarra Ranges (S),Arterial Road,No,No,26_to_39,Night
20214022,SA,202109,Saturday,23:31:00,Multiple,No,No,No,Pedestrian,Female,28,0,6,Major Cities of Australia,Adelaide - North,Playford (C),,No,No,26_to_39,Night
20212096,Vic,202109,Saturday,23:00:00,Single,,,,Car passenger,Male,19,0,2,Inner Regional Australia,Hume,Wangaratta (RC),Access Road,No,No,17_to_25,Night
20212145,Vic,202109,Saturday,22:25:00,Single,,,,Car driver,Male,23,117,5,Outer Regional Australia,Hume,Wangaratta (RC),Arterial Road,No,No,17_to_25,Night
20212075,Vic,202109,Saturday,5:15:00,Single,,,,Motorcycle rider,Male,46,92,11,Major Cities of Australia,Melbourne - South East,Casey (C),Local Road,No,No,40_to_64,Night
20213034,Qld,202109,Saturday,4:00:00,Multiple,No,No,No,Motorcycle rider,Male,19,41,3,Major Cities of Australia,Brisbane - South,Brisbane (C),Busway,No,No,17_to_25,Night
20215071,WA,202109,Saturday,19:10:00,Single,No,No,No,Car driver,Female,20,103,1,,,,,No,No,17_to_25,Night
20212015,Vic,202109,Thursday,19:33:00,Multiple,,,,Other vehicle driver,Male,17,82,2,Major Cities of Australia,Melbourne - West,Wyndham (C),Sub-Arterial Road,No,No,17_to_25,Night
20213026,Qld,202109,Wednesday,23:00:00,Multiple,No,No,No,Car passenger,Female,2,20,3,Major Cities of Australia,Ipswich,Ipswich (C),National or State Highway,No,No,0_to_16,Night
20213092,Qld,202109,Saturday,2:00:00,Single,No,No,No,Car driver,Male,47,53,12,Major Cities of Australia,Logan - Beaudesert,Logan (C),Local Road,No,No,40_to_64,Night
20214053,SA,202109,Thursday,21:00:00,Single,No,No,No,Car driver,Male,24,140,7,Inner Regional Australia,Adelaide - Central and Hills,Adelaide Hills (DC),Sub-Arterial Road,No,No,17_to_25,Night
20213178,Qld,202109,Sunday,21:00:00,Multiple,No,No,No,Motorcycle rider,Male,52,71,29,Major Cities of Australia,Gold Coast,Gold Coast (C),Local Road,No,No,40_to_64,Night
20215047,WA,202109,Friday,22:44:00,Single,No,No,No,Motorcycle rider,Male,49,96,15,,,,,No,No,40_to_64,Night
20211068,NSW,202109,Tuesday,21:50:00,Single,No,No,No,Car driver,Female,32,97,11,Inner Regional Australia,Central Coast,Central Coast,Arterial Road,No,No,26_to_39,Night
20213026,Qld,202109,Wednesday,23:00:00,Multiple,No,No,No,Car driver,Male,34,55,15,Major Cities of Australia,Ipswich,Ipswich (C),National or State Highway,No,No,26_to_39,Night
20211169,NSW,202109,Saturday,8:05:00,Single,No,No,No,Motorcycle rider,Male,26,79,4,Inner Regional Australia,Richmond - Tweed,Tweed,National or State Highway,No,No,26_to_39,Day
20215050,WA,202109,Thursday,7:27:00,Single,Yes,No,No,Car driver,Male,56,27,28,,,,,No,No,40_to_64,Day
20213169,Qld,202109,Sunday,13:00:00,Single,No,No,No,Car driver,Male,52,63,29,Outer Regional Australia,Wide Bay,South Burnett (R),Sub-Arterial Road,No,No,40_to_64,Day
20211088,NSW,202109,Saturday,8:30:00,Single,No,No,No,Car passenger,Female,11,20,2,Outer Regional Australia,Riverina,Carrathool,National or State Highway,No,No,0_to_16,Day
20211025,NSW,202109,Sunday,10:52:00,Single,No,No,No,Car driver,Male,46,143,14,Outer Regional Australia,Central West,Mid-Western Regional,Sub-Arterial Road,No,No,40_to_64,Day
20212060,Vic,202109,Sunday,10:32:00,Single,,,,Motorcycle rider,Male,49,69,14,Major Cities of Australia,Melbourne - West,Melton (C),Local Road,No,No,40_to_64,Day
20212135,Vic,202109,Saturday,11:15:00,Single,,,,Motorcycle rider,Male,45,101,14,Major Cities of Australia,Melbourne - South East,Casey (C),Local Road,No,No,40_to_64,Day
